,steam-LBS,startDay,endDay,RH-%,T-C,Tdew-C,pressure-mbar,solarRadiation-W/m2,windDirection,windSpeed-m/s,humidityRatio-kg/kg,coolingDegrees,heatingDegrees,dehumidification,occupancy
2012-03-28,27529.6744792,2012-03-28,2012-03-29,54.2916666667,7.125,-2.3625,1001.25,183.583333333,185.416666667,3.66898441667,0.00371884945037,0.0,7.875,0.0,1.0
2012-03-29,30198.9046224,2012-03-29,2012-03-30,70.125,6.25,0.8875,998.083333333,84.75,207.916666667,4.96528175,0.00417559249531,0.0,8.75,0.0,1.0
2012-03-30,29293.6669922,2012-03-30,2012-03-31,40.4583333333,5.91666666667,-7.20416666667,1006.95833333,265.75,279.166666667,5.05787441667,0.00222221010619,0.0,9.08333333333,0.0,1.0
2012-04-02,28931.7171224,2012-04-02,2012-04-03,61.625,6.20833333333,-1.89583333333,996.625,216.333333333,255.0,5.54398591667,0.00352585493054,0.0,8.79166666667,0.0,1.0
2012-04-03,,2012-04-03,2012-04-04,23.0,8.58333333333,-10.9,999.416666667,277.125,325.833333333,5.55556,0.00151317021923,0.458333333333,6.41666666667,0.0,1.0
2012-04-04,21151.5885417,2012-04-04,2012-04-05,29.375,11.4583333333,-6.70416666667,993.416666667,272.5,308.333333333,5.30093016667,0.0023894601331,1.33333333333,3.875,0.0,1.0
2012-04-05,,2012-04-05,2012-04-06,44.3333333333,7.08333333333,-4.70833333333,999.833333333,265.625,320.416666667,5.63657858333,0.00272441635246,0.0,7.91666666667,0.0,1.0
2012-04-06,28329.2529297,2012-04-06,2012-04-07,35.6666666667,7.25,-7.5,1004.66666667,277.875,317.083333333,4.89583725,0.00218184841246,0.0,7.75,0.0,1.0
2012-04-07,27442.421875,2012-04-07,2012-04-08,41.875,6.25,-6.0,1006.375,238.125,206.666666667,3.71528075,0.00246505813297,0.0,8.75,0.0,0.5
2012-04-08,25725.9179688,2012-04-08,2012-04-09,46.4166666667,7.66666666667,-3.47083333333,999.416666667,205.333333333,252.5,4.18981816667,0.00300538801713,0.0,7.33333333333,0.0,0.5
2012-04-09,,2012-04-09,2012-04-10,43.7083333333,10.5416666667,-1.54583333333,991.75,212.666666667,260.0,6.95602408333,0.00344365287464,0.333333333333,4.45833333333,0.0,1.0
2012-04-10,18723.7239583,2012-04-10,2012-04-11,33.4583333333,12.2,-4.1125,995.25,214.375,234.583333333,4.59491108333,0.00286393936132,1.45833333333,3.09166666667,0.0,1.0
2012-04-11,24286.0091146,2012-04-11,2012-04-12,54.75,9.25,0.2,1000.79166667,258.333333333,198.75,4.29398491667,0.00394965136056,0.0,5.75,0.0,1.0
2012-04-12,,2012-04-12,2012-04-13,70.4583333333,8.16666666667,2.9,1006.08333333,223.0,256.666666667,3.98148466667,0.0047122959107,0.0416666666667,6.83333333333,0.0,1.0
2012-04-13,18793.7548828,2012-04-13,2012-04-14,43.75,11.8333333333,-2.15,1009.83333333,289.041666667,312.5,3.55324358333,0.00331402602233,2.0,3.75,0.0,1.0
2012-04-14,9771.58528646,2012-04-14,2012-04-15,29.8333333333,15.25,-2.9375,1009.08333333,284.791666667,257.5,4.59491108333,0.00307353381384,3.70833333333,1.54166666667,0.0,0.5
2012-04-15,,2012-04-15,2012-04-16,50.4166666667,18.875,8.08333333333,1005.625,236.833333333,229.166666667,4.42129983333,0.00685911123765,6.875,0.25,0.0,0.5
2012-04-16,5384.95442709,2012-04-16,2012-04-17,60.0833333333,21.5875,12.8791666667,1005.54166667,283.583333333,187.5,4.38657758333,0.00929595061523,9.5875,0.0,0.00050833174644,1.0
2012-04-17,,2012-04-17,2012-04-18,38.9583333333,22.125,3.6875,1006.66666667,293.75,274.583333333,5.01157808333,0.00546987176484,10.125,0.0833333333333,1.79637162619e-05,1.0
2012-04-18,,2012-04-18,2012-04-19,47.9166666667,11.625,0.279166666667,1013.25,249.708333333,197.916666667,5.19676341667,0.00393373162716,0.583333333333,3.5,0.0,1.0
2012-04-19,,2012-04-19,2012-04-20,64.3333333333,12.5833333333,5.74166666667,1009.25,312.458333333,177.5,4.59491108333,0.0057335086028,1.66666666667,2.83333333333,0.0,1.0
2012-04-20,7319.63541667,2012-04-20,2012-04-21,54.25,16.0833333333,5.8125,1006.16666667,315.5,206.25,5.31250425,0.00577838762843,4.54166666667,1.75,0.0,1.0
2012-04-21,4994.40104166,2012-04-21,2012-04-22,69.625,17.6666666667,11.55,1000.0,258.166666667,192.916666667,5.28935608333,0.00861115159375,5.66666666667,0.666666666667,0.000213167912728,0.5
2012-04-22,,2012-04-22,2012-04-23,87.625,10.7083333333,8.65,999.5,33.875,118.75,5.60185633333,0.00720610402578,1.16666666667,4.54166666667,0.000267847246278,0.5
2012-04-23,10423.9029948,2012-04-23,2012-04-24,88.2083333333,13.125,11.0625,986.291666667,56.0833333333,152.083333333,6.14583825,0.00865290793537,2.04166666667,2.45833333333,0.000850836834803,1.0
2012-04-24,13971.6796875,2012-04-24,2012-04-25,56.7916666667,10.5,1.6875,991.75,200.5,206.666666667,6.94445,0.00443690771199,0.25,4.5,0.0,1.0
2012-04-25,13144.7298177,2012-04-25,2012-04-26,50.2916666667,11.3333333333,0.25,999.875,245.458333333,242.5,5.23148566667,0.00396395292173,1.125,3.875,0.0,1.0
2012-04-26,14618.3886719,2012-04-26,2012-04-27,58.4166666667,10.75,2.49583333333,1001.16666667,263.208333333,198.333333333,4.53704066667,0.00477972344156,0.625,4.375,0.0,1.0
2012-04-27,17741.5657552,2012-04-27,2012-04-28,54.3333333333,10.6666666667,1.07916666667,996.875,316.708333333,277.5,7.1527835,0.00451768704517,0.25,4.33333333333,2.70673578791e-06,1.0
2012-04-28,16346.0351562,2012-04-28,2012-04-29,33.625,8.54166666667,-7.55,1009.16666667,324.375,290.0,5.99537516667,0.00215270066924,0.416666666667,6.45833333333,0.0,0.5
2012-04-29,16110.9765625,2012-04-29,2012-04-30,24.3333333333,10.125,-9.54583333333,1010.08333333,348.208333333,319.166666667,5.32407833333,0.0017919331391,0.5,4.875,0.0,0.5
2012-04-30,,2012-04-30,2012-05-01,39.0833333333,9.375,-4.2125,1015.875,328.0,210.416666667,4.80324458333,0.00291056324544,0.0,5.625,0.0,1.0
2012-05-01,24481.6536458,2012-05-01,2012-05-02,84.7916666667,8.16666666667,5.475,1011.95833333,22.125,115.833333333,5.37037466667,0.00564039048424,0.0,6.83333333333,0.0,1.0
2012-05-02,23111.6650391,2012-05-02,2012-05-03,89.5416666667,8.45833333333,6.72916666667,1014.08333333,131.291666667,65.0,4.12037366667,0.00608699950775,0.0,6.54166666667,0.0,1.0
2012-05-03,21854.2252604,2012-05-03,2012-05-04,91.5,8.75,7.4,1013.08333333,60.2916666667,114.166666667,3.194447,0.00636575493157,0.0,6.25,0.0,1.0
2012-05-04,18916.7122396,2012-05-04,2012-05-05,93.5833333333,10.9166666667,9.77083333333,1006.875,44.0,140.833333333,3.00926166667,0.00759689587549,0.0833333333333,4.08333333333,0.0,1.0
2012-05-05,17892.3567708,2012-05-05,2012-05-06,91.4166666667,10.7083333333,9.17916666667,1007.54166667,86.375,130.416666667,2.2916685,0.00729410827462,0.166666666667,4.29166666667,0.0,0.5
2012-05-06,18069.0120443,2012-05-06,2012-05-07,74.4166666667,10.1666666667,5.4,1011.0,250.541666667,92.9166666667,3.63426216667,0.00565048947069,0.0,4.83333333333,0.0,0.5
2012-05-07,10911.3623047,2012-05-07,2012-05-08,66.7083333333,12.5833333333,6.35833333333,1011.41666667,289.25,126.666666667,4.24768858333,0.00598577973739,0.958333333333,2.41666666667,0.0,1.0
2012-05-08,18520.2620443,2012-05-08,2012-05-09,71.5,12.4166666667,7.025,1007.83333333,47.75,192.083333333,5.02315216667,0.00637913757599,0.666666666667,2.58333333333,0.0,1.0
2012-05-09,8319.31152344,2012-05-09,2012-05-10,91.5416666667,15.2916666667,13.7708333333,998.291666667,35.25,198.75,3.63426216667,0.00997528687678,3.29166666667,0.5,0.00112534377482,1.0
2012-05-10,,2012-05-10,2012-05-11,72.6666666667,14.25,8.825,990.541666667,199.75,283.75,5.21991158333,0.00737483529773,2.33333333333,1.375,0.000155564933037,1.0
2012-05-11,,2012-05-11,2012-05-12,50.9583333333,12.75,2.14583333333,1002.83333333,256.833333333,247.5,4.75694825,0.00449251183179,1.66666666667,2.66666666667,0.0,1.0
2012-05-12,6839.04785156,2012-05-12,2012-05-13,36.0,18.625,1.9375,1010.04166667,361.916666667,271.25,4.21296633333,0.00440670869711,6.79166666667,1.125,0.0,0.5
2012-05-13,5025.92447917,2012-05-13,2012-05-14,49.9166666667,19.4875,8.5625,1010.75,288.125,183.333333333,3.43750275,0.00694987302052,7.4875,0.0,0.0,0.5
2012-05-14,13267.3177083,2012-05-14,2012-05-15,84.2083333333,13.1666666667,10.3583333333,1012.58333333,187.958333333,103.333333333,2.82407633333,0.00784458649571,1.16666666667,2.0,0.0,1.0
2012-05-15,5113.11197917,2012-05-15,2012-05-16,78.1666666667,17.375,13.1666666667,1010.75,236.166666667,172.083333333,4.583337,0.00944191680258,5.375,0.0833333333333,0.00064722170326,1.0
2012-05-16,5254.66145833,2012-05-16,2012-05-17,89.8333333333,18.0833333333,16.1833333333,1003.58333333,176.291666667,197.5,3.4027805,0.0115762881866,6.08333333333,0.0,0.0027162881866,1.0
2012-05-17,,2012-05-17,2012-05-18,53.1666666667,16.4583333333,5.85833333333,1008.08333333,360.875,271.25,4.34028125,0.00596990137666,4.45833333333,0.5,0.000171010982615,0.5
2012-05-18,,2012-05-18,2012-05-19,60.75,14.4166666667,6.575,1014.29166667,346.166666667,113.333333333,3.66898441667,0.00605428084409,2.58333333333,1.33333333333,0.0,0.5
2012-05-19,6554.61914062,2012-05-19,2012-05-20,55.7916666667,15.125,6.175,1013.0,358.541666667,172.5,2.66203916667,0.00588845432832,3.16666666667,0.875,0.0,0.5
