,Site_EUI,pos,,,,,,,,,
371,126.3," -71.0926912,42.3469348",,,,,,,,,
372,106.5," -71.0973995258981,42.3371693546591",,,,,,,,,
373,97.8," -71.0413626,42.3470211",,,,,,,,,
374,115.5," -71.0978006,42.3262952",,,,,,,,,
375,80.5," -71.1307264444444,42.2368022222222",,,,,,,,,
376,65," -71.0395386521739,42.3698525217391",,,,,,,,,
377,121.9," -71.1678192507277,42.35123714908",,,,,,,,,
378,230.8," -71.0893827142857,42.2911",,,,,,,,,
379,90.2," -71.1219269,42.278059",,,,,,,,,
380,156.8," -71.003919,42.387914",,,,,,,,,
381,274.5," -71.090754,42.345642",,,,,,,,,
382,267.6," -71.0510588255466,42.366507945767",,,,,,,,,
383,18.7," -71.0374643373697,42.3481506520801",,,,,,,,,
384,58.2," -71.104519,42.3451842",,,,,,,,,
385,2.3," -71.0646277,42.3529947",,,,,,,,,
386,8.9," -71.0389389,42.374924",,,,,,,,,
387,149.2," -71.0366236122449,42.3729767346939",,,,,,,,,
388,87.4," -71.0777336194819,42.3263437044145",,,,,,,,,
389,43.3," -71.1167902290622,42.2484606235702",,,,,,,,,
390,56.6," -71.0811192,42.3327667",,,,,,,,,
391,171.7," -71.0589563333333,42.297663",,,,,,,,,
392,118.9," -71.1285731902464,42.2467190256879",,,,,,,,,
393,158.5," -71.0811192,42.3327667",,,,,,,,,
394,106.8," -71.1235565,42.257661",,,,,,,,,
395,214.1," -71.1335342439024,42.3016826829268",,,,,,,,,
396,0," -71.0413626,42.3470211",,,,,,,,,
397,80.3," -71.081592,42.271411",,,,,,,,,
398,75.4," -71.0547382,42.2858246",,,,,,,,,
399,108.1," -71.0646208,42.375776",,,,,,,,,
400,81.5," -71.0811192,42.3327667",,,,,,,,,
401,102.7," -71.1302824,42.2978789",,,,,,,,,
402,118.5," -71.1426095000835,42.3493677237099",,,,,,,,,
403,34.1," -71.0392708181818,42.3767076363636",,,,,,,,,
404,101," -71.0978006,42.3262952",,,,,,,,,
405,34.8," -71.1326887885031,42.3547642849642",,,,,,,,,
406,93.6," -71.0592010625,42.3581071875",,,,,,,,,
407,123.6," -71.0686209312465,42.273681325046",,,,,,,,,
408,166.3," -71.0935748846154,42.2785255769231",,,,,,,,,
409,112," -71.0549869,42.364013",,,,,,,,,
410,5.8," -71.005863,42.38606",,,,,,,,,
411,0," -71.0602524,42.3582926",,,,,,,,,
412,72.7," -71.0811192,42.3327667",,,,,,,,,
413,53.5," -71.0769501875,42.3410495",,,,,,,,,
414,60.4," -71.1302824,42.2978789",,,,,,,,,
415,106.1," -71.0627095043575,42.3412464990747",,,,,,,,,
416,90.3," -71.1770493103373,42.2805679061936",,,,,,,,,
417,233.6," -71.0580007254411,42.2980849039736",,,,,,,,,
418,0," -71.0669605714286,42.3266692959184",,,,,,,,,
419,173.3," -71.0704366575871,42.3271690182946",,,,,,,,,
420,0.6," -71.0811192,42.3327667",,,,,,,,,
421,216.4," -71.12072825,42.2940245",,,,,,,,,
422,7.7," -71.116947,42.320032",,,,,,,,,
423,60.9," -71.116467023304,42.253311205273",,,,,,,,,
424,278," -71.0766369,42.307077",,,,,,,,,
425,78.7," -71.1522586,42.3371499",,,,,,,,,
426,193.3," -71.0899759,42.28898",,,,,,,,,
427,77," -71.038765755102,42.3356510204082",,,,,,,,,
428,92.5," -71.070829,42.326834",,,,,,,,,
429,34.5," -71.07405875,42.385242",,,,,,,,,
430,0," -71.0595677,42.3604823",,,,,,,,,
431,149.7," -71.0888979,42.34016",,,,,,,,,
432,96.7," -71.0674920452801,42.3661049182307",,,,,,,,,
433,0," -71.0365091082855,42.34064525",,,,,,,,,
434,114," -71.0911492640818,42.34209615",,,,,,,,,
435,8.4," -71.0811192,42.3327667",,,,,,,,,
436,0," -71.0595677,42.3604823",,,,,,,,,
437,41.4," -71.1219988765206,42.2628125570693",,,,,,,,,
438,47.7," -71.0349028421053,42.3656940526316",,,,,,,,,
439,89.8," -71.1142516,42.3073557",,,,,,,,,
440,58.1," -71.0374754285714,42.3713688571429",,,,,,,,,
441,67.2," -71.0949520008089,42.3467794452154",,,,,,,,,
442,48.6," -71.1390161632653,42.3433933469388",,,,,,,,,
443,65.7," -71.1190259,42.283092",,,,,,,,,
444,79.3," -71.1351101788692,42.2776778",,,,,,,,,
445,72.4," -71.15505,42.2630153571429",,,,,,,,,
446,102.3," -71.0726169722222,42.3410388333333",,,,,,,,,
447,51.3," -71.0060059230769,42.3914014615385",,,,,,,,,
448,40.4," -71.1454647543033,42.34928775",,,,,,,,,
449,37.6," -71.1681338,42.3505988",,,,,,,,,
450,105.7," -71.083091,42.34037125",,,,,,,,,
451,56.1," -71.1070314481826,42.323782656458",,,,,,,,,
452,115.1," -71.0610625314593,42.3804708828528",,,,,,,,,
453,37.2," -71.1044606471225,42.26736705",,,,,,,,,
454,47.2," -71.0583120984321,42.3230902870531",,,,,,,,,
455,78.6," -71.069427,42.3564905",,,,,,,,,
456,97.7," -71.0613456050091,42.300687612814",,,,,,,,,
457,120.8," -71.0517183,42.3379255",,,,,,,,,
458,67.3," -71.1273414414001,42.274598",,,,,,,,,
459,65.8," -71.1135843022332,42.3189700199921",,,,,,,,,
460,44.7," -71.1302824,42.2978789",,,,,,,,,
461,98," -71.0450775237281,42.3189002095134",,,,,,,,,
462,71," -71.0767833109449,42.287932028716",,,,,,,,,
463,114," -71.0767833109449,42.287932028716",,,,,,,,,
464,73.4," -71.0349512816881,42.3811091",,,,,,,,,
465,65.8," -71.1601794260347,42.3458102784874",,,,,,,,,
466,60.3," -71.06658875,42.379592875",,,,,,,,,
467,63," -71.0334920434783,42.3697221521739",,,,,,,,,
468,68.4," -71.0920269319896,42.2718676016367",,,,,,,,,
469,84.5," -71.0899759,42.28898",,,,,,,,,
470,54.4," -71.0536115,42.36648625",,,,,,,,,
471,56.8," -71.0936150084534,42.3148669718219",,,,,,,,,
472,74.8," -71.0731502256427,42.3232956588771",,,,,,,,,
473,63.4," -71.1127388148148,42.2564587037037",,,,,,,,,
474,47.9," -71.1060822719072,42.3339878655327",,,,,,,,,
